time,total_events,window_size,slide
38  ,292724      ,5          ,1
39  ,300279      ,5          ,1
40  ,306263      ,5          ,1
41  ,313246      ,5          ,1
42  ,320000      ,5          ,1
43  ,327219      ,5          ,1
44  ,334332      ,5          ,1
45  ,340142      ,5          ,1
46  ,346767      ,5          ,1
47  ,352709      ,5          ,1
48  ,359699      ,5          ,1
49  ,366152      ,5          ,1
50  ,372330      ,5          ,1
51  ,378302      ,5          ,1
52  ,384449      ,5          ,1
53  ,390368      ,5          ,1
54  ,396791      ,5          ,1
55  ,403477      ,5          ,1
56  ,408640      ,5          ,1
57  ,414654      ,5          ,1
58  ,420230      ,5          ,1
59  ,426763      ,5          ,1
60  ,433376      ,5          ,1
61  ,437951      ,5          ,1
62  ,444170      ,5          ,1
63  ,449623      ,5          ,1
64  ,455927      ,5          ,1
65  ,462151      ,5          ,1
66  ,467197      ,5          ,1
67  ,472829      ,5          ,1
68  ,478209      ,5          ,1
69  ,484112      ,5          ,1
70  ,490019      ,5          ,1
71  ,495686      ,5          ,1
72  ,500387      ,5          ,1
73  ,506021      ,5          ,1
74  ,511199      ,5          ,1
75  ,517261      ,5          ,1
76  ,523149      ,5          ,1
77  ,528289      ,5          ,1
78  ,533765      ,5          ,1
79  ,538493      ,5          ,1
80  ,544645      ,5          ,1
81  ,550345      ,5          ,1
82  ,554924      ,5          ,1
83  ,560701      ,5          ,1
84  ,565498      ,5          ,1
85  ,571233      ,5          ,1
86  ,576709      ,5          ,1
87  ,581400      ,5          ,1
88  ,586752      ,5          ,1
89  ,591652      ,5          ,1
90  ,596663      ,5          ,1
91  ,601874      ,5          ,1
92  ,607044      ,5          ,1
93  ,611908      ,5          ,1
94  ,616838      ,5          ,1
95  ,620746      ,5          ,1
96  ,626463      ,5          ,1
97  ,631847      ,5          ,1
98  ,636092      ,5          ,1
99  ,641181      ,5          ,1
100 ,645351      ,5          ,1
101 ,650565      ,5          ,1
102 ,655752      ,5          ,1
103 ,659640      ,5          ,1
104 ,665194      ,5          ,1
105 ,669368      ,5          ,1
106 ,674206      ,5          ,1
107 ,679160      ,5          ,1
108 ,683222      ,5          ,1
109 ,687837      ,5          ,1
110 ,692091      ,5          ,1
111 ,696481      ,5          ,1
112 ,700847      ,5          ,1
113 ,705422      ,5          ,1
114 ,709586      ,5          ,1
115 ,713873      ,5          ,1
116 ,717854      ,5          ,1
117 ,722409      ,5          ,1
118 ,726841      ,5          ,1
119 ,730679      ,5          ,1
120 ,735071      ,5          ,1
121 ,738803      ,5          ,1
122 ,743114      ,5          ,1
123 ,747526      ,5          ,1
124 ,751133      ,5          ,1
125 ,755361      ,5          ,1
126 ,759044      ,5          ,1
127 ,763082      ,5          ,1
128 ,767254      ,5          ,1
129 ,770998      ,5          ,1
130 ,774990      ,5          ,1
131 ,778692      ,5          ,1
132 ,782512      ,5          ,1
133 ,785977      ,5          ,1
134 ,790371      ,5          ,1
135 ,794135      ,5          ,1
136 ,797788      ,5          ,1
137 ,801384      ,5          ,1
138 ,805079      ,5          ,1
139 ,809020      ,5          ,1
140 ,812509      ,5          ,1
141 ,816243      ,5          ,1
142 ,819587      ,5          ,1
143 ,823269      ,5          ,1
144 ,827006      ,5          ,1
145 ,830405      ,5          ,1
146 ,833966      ,5          ,1
147 ,837353      ,5          ,1
148 ,841010      ,5          ,1
149 ,844582      ,5          ,1
150 ,847952      ,5          ,1
151 ,851405      ,5          ,1
152 ,854754      ,5          ,1
153 ,858310      ,5          ,1
154 ,861757      ,5          ,1
155 ,865068      ,5          ,1
156 ,868331      ,5          ,1
157 ,871684      ,5          ,1
158 ,875098      ,5          ,1
159 ,877985      ,5          ,1
160 ,881745      ,5          ,1
161 ,884766      ,5          ,1
